external_source,external_id,category_code,product_name,brand,description,price,currency,stock_status,image_preview,thumbnail_url,local_image_path,source_url,use_product,mood_code
IKEA,704.208.99,BALCONY_OUTDOOR,ALTAPPEN 알타펜 조립마루 - 라이트그레이 0.81 m²,IKEA,ALTAPPEN 알타펜 조립마루 - 라이트그레이 0.81 m². 테라스나 발코니를 새롭게 꾸며보세요. 플라스틱 소재로 날씨에 구애를 받지 않고 관리도 쉽습니다. 조립마루는 장시간 햇빛에 노출되어도 빛바램에 대해 영향을 받지 않도록 UV 안정화 작업을 거쳤으므로 오랫동안 처음 모습 그대로 사용할 수 있습니다. 코너나 기둥에 맞게 잘라낼 수 있습니다. 쉽게 분리하고 조립할 수 있어서 청소가 편합니다. 구성: 야외조립마루 9장(각 30x30cm). ALTAPPEN/알타펜 조립마루만 추가해서 사용할 수 있습니다.,20000,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/altappen-floor-decking-outdoor-light-grey__0723465_pe733986_s5.jpg,output_balcony\images\704.208.99.jpg,https://www.ikea.com/kr/ko/p/altappen-floor-decking-outdoor-light-grey-70420899/,검토,
IKEA,604.767.35,BALCONY_OUTDOOR,RUNNEN 룬넨 조립마루 - 베이지 0.81 m²,IKEA,"RUNNEN 룬넨 조립마루 - 베이지 0.81 m². 테라스나 발코니를 새롭게 꾸며보세요. 플라스틱 소재로 날씨에 구애를 받지 않고 관리도 쉽습니다. 코너나 기둥에 맞게 잘라낼 수 있습니다. 쉽게 분리하고 조립할 수 있어서 청소가 편합니다. 구성: 야외조립마루 9장(각 30x30cm). 조립마루는 콘크리트, 석재, 목재 등 표면이 단단하고 평평한 곳에 적합합니다. 본 제품은 재생이 가능하며 에너지를 재생하는데 사용할 수도 있습니다. 직사광선에 오랫동안 노출될 경우 조립마루가 뜨거워질 수 있습니다.",22900,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/runnen-floor-decking-outdoor-beige__0960341_pe806626_s5.jpg,output_balcony\images\604.767.35.jpg,https://www.ikea.com/kr/ko/p/runnen-floor-decking-outdoor-beige-60476735/,검토,
IKEA,405.184.87,BALCONY_OUTDOOR,RUNNEN 룬넨 조립마루 - 아카시아나무 0.81 m²,IKEA,"RUNNEN 룬넨 조립마루 - 아카시아나무 0.81 m². 테라스나 발코니를 새롭게 꾸며보세요. 모서리마감재와 조립마루를 쉽게 분리하고 조립할 수 있어서 청소가 편합니다. 코너나 기둥에 맞게 잘라낼 수 있습니다. 일 년에 한두 번 광택제를 덧칠해 주면, 조립마루가 닳거나 마모되지 않도록 쉽게 보호할 수 있어요. 조립마루를 사용하면 테라스와 발코니, 실내의 온도를 낮출 수 있어요. 콘크리트 등의 소재와 비교해 나무가 태양열을 반사하고 열전도율을 낮추기 때문이죠. 실외용으로만 사용할 것을 권장합니다.",29900,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/runnen-floor-decking-outdoor-acacia__1151157_pe884806_s5.jpg,output_balcony\images\405.184.87.jpg,https://www.ikea.com/kr/ko/p/runnen-floor-decking-outdoor-acacia-40518487/,검토,
IKEA,302.381.14,BALCONY_OUTDOOR,RUNNEN 룬넨 조립마루 - 다크그레이 0.81 m²,IKEA,"RUNNEN 룬넨 조립마루 - 다크그레이 0.81 m². 테라스나 발코니를 새롭게 꾸며보세요. 플라스틱 소재로 날씨에 구애를 받지 않고 관리도 쉽습니다. 코너나 기둥에 맞게 잘라낼 수 있습니다. 쉽게 분리하고 조립할 수 있어서 청소가 편합니다. 조립마루는 콘크리트, 석재, 목재 등 표면이 단단하고 평평한 곳에 적합합니다. 본 제품은 재생이 가능하며 에너지를 재생하는데 사용할 수도 있습니다. 직사광선에 오랫동안 노출될 경우 조립마루가 뜨거워질 수 있습니다.",22900,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/runnen-floor-decking-outdoor-dark-grey__0237434_pe376790_s5.jpg,output_balcony\images\302.381.14.jpg,https://www.ikea.com/kr/ko/p/runnen-floor-decking-outdoor-dark-grey-30238114/,검토,
IKEA,303.131.32,BALCONY_OUTDOOR,RUNNEN 룬넨 조립마루 - 인조잔디 0.81 m²,IKEA,"RUNNEN 룬넨 조립마루 - 인조잔디 0.81 m². 조립마루는 관리가 간편할 뿐 아니라 마루판을 끼워 맞추는 방식으로 간단하게 고정할 수 있습니다. 인조잔디는 장시간 햇빛에 노출되어도 빛바램에 대해 영향을 받지 않도록 UV 안정화 작업을 거쳤으므로 오랫동안 처음 모습 그대로 사용할 수 있습니다. 코너나 기둥에 맞게 잘라낼 수 있습니다. 쉽게 분리하고 조립할 수 있어서 청소가 편합니다. 구성: 야외조립마루 9장(각 30x30cm). 조립마루는 콘크리트, 석재, 목재 등 표면이 단단하고 평평한 곳에 적합합니다.",59900,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/runnen-floor-decking-outdoor-artificial-grass__0547200_pe656497_s5.jpg,output_balcony\images\303.131.32.jpg,https://www.ikea.com/kr/ko/p/runnen-floor-decking-outdoor-artificial-grass-30313132/,검토,
IKEA,005.578.00,BALCONY_OUTDOOR,RUNNEN 룬넨 조립마루 - 텍스타일 다크그레이 0.81 m²,IKEA,"RUNNEN 룬넨 조립마루 - 텍스타일 다크그레이 0.81 m². 코너나 기둥에 맞게 잘라낼 수 있습니다. 테라스나 발코니를 새롭게 꾸며보세요. 조립마루는 장시간 햇빛에 노출되어도 빛바램에 대해 영향을 받지 않도록 UV 안정화 작업을 거쳤으므로 오랫동안 처음 모습 그대로 사용할 수 있습니다. 관리가 간편한 이 조립마루는 아래쪽 바닥을 청소하고 싶을 때 쉽게 분리하고, 청소가 끝나면 다시 쉽게 조립할 수 있어요. 조립마루는 관리가 간편할 뿐 아니라 마루판을 끼워 맞추는 방식으로 간단하게 고정할 수 있습니다. 화기로부터 멀리 두세요.",49900,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/runnen-floor-decking-outdoor-textile-dark-grey__1275188_pe930555_s5.jpg,output_balcony\images\005.578.00.jpg,https://www.ikea.com/kr/ko/p/runnen-floor-decking-outdoor-textile-dark-grey-00557800/,검토,
IKEA,802.785.79,BALCONY_OUTDOOR,HYLLIS 휠리스 선반유닛 - 실내외겸용 60x27x140 cm,IKEA,"HYLLIS 휠리스 선반유닛 - 실내외겸용 60x27x140 cm. 이 수납유닛은 화분과 화초를 놓기 좋고, HYLLIS 휠리스 커버를 추가하면 간편하게 온실로 바꿀 수 있어요. 실내외에서 모두 사용 가능하며 발코니 또는 주방, 현관, 욕실 어디에든 놓을 수 있습니다. 별도 판매되는 HYLLIS 휠리스 커버를 사용하면 비와 먼지로부터 물건을 보호할 수 있습니다. 더 큰 수납 솔루션이 필요하다면 같은 시리즈의 선반유닛 여러 개를 결합해 사용할 수 있어요. 제품에 포함된 플라스틱 받침은 바닥을 긁힘으로부터 보호합니다.",30000,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/hyllis-shelving-unit-in-outdoor__0626021_pe692562_s5.jpg,output_balcony\images\802.785.79.jpg,https://www.ikea.com/kr/ko/p/hyllis-shelving-unit-in-outdoor-80278579/,검토,
IKEA,204.199.35,BALCONY_OUTDOOR,HYLLEN 휠렌 조립마루 - 아카시아나무 45x45 cm,IKEA,HYLLEN 휠렌 조립마루 - 아카시아나무 45x45 cm. 밑면이 실리콘이므로 쉽게 움직이지 않아 미끄럼 사고 위험을 줄일 수 있습니다. PVC/비닐 소재의 바닥에는 이염의 우려가 있어 사용을 권장하지 않습니다.,0,KRW,,,https://www.ikea.com/kr/ko/images/products/hyllen-floor-decking-acacia__0624662_pe691969_s5.jpg,output_balcony\images\204.199.35.jpg,https://www.ikea.com/kr/ko/p/hyllen-floor-decking-acacia-20419935/,검토,
IKEA,694.927.45,BALCONY_OUTDOOR,NÄMMARÖ 넴마뢰 수납박스 및 야외파티션 - 실외용/라이트 스테인 브라운 80x68x140 cm,IKEA,"NÄMMARÖ 넴마뢰 수납박스 및 야외파티션 - 실외용/라이트 스테인 브라운 80x68x140 cm. 아카시아 나무는 섬유질 밀도가 높아 가구의 내구성을 높여줍니다. NÄMMARÖ 넴마뢰 야외파티션은 정원이나 테라스에서 프라이버시를 보호하는 데 사용하면 좋아요. 야외파티션은 독립형 제품이며 다양한 덩굴 식물의 지지대로 사용하거나 실내외 모두에서 공간을 나누는 칸막이로도 사용할 수 있어요. 의자 쿠션, 원예 도구, 화분을 보관하는 것 외에도 이 수납 상자는 여분의 의자로 사용하거나 물건을 올려놓는 용도로도 사용할 수 있어요.",228900,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/naemmaroe-storage-box-and-privacy-screen-outdoor-light-brown-stained__1174645_pe894565_s5.jpg,output_balcony\images\694.927.45.jpg,https://www.ikea.com/kr/ko/p/naemmaroe-storage-box-and-privacy-screen-outdoor-light-brown-stained-s69492745/,검토,
IKEA,104.283.27,BALCONY_OUTDOOR,HYLLIS 휠리스 선반유닛 - 실내외겸용 60x27x74 cm,IKEA,"HYLLIS 휠리스 선반유닛 - 실내외겸용 60x27x74 cm. 이 수납유닛은 화분과 화초를 놓기 좋고, HYLLIS 휠리스 커버를 추가하면 간편하게 온실로 바꿀 수 있어요. 실내외에서 모두 사용 가능하며 발코니 또는 주방, 현관, 욕실 어디에든 놓을 수 있습니다. 별도 판매되는 HYLLIS 휠리스 커버를 사용하면 비와 먼지로부터 물건을 보호할 수 있습니다. 더 큰 수납 솔루션이 필요하다면 같은 시리즈의 선반유닛 여러 개를 결합해 사용할 수 있어요. 제품에 포함된 플라스틱 받침은 바닥을 긁힘으로부터 보호합니다.",25000,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/hyllis-shelving-unit-in-outdoor__0639121_pe704408_s5.jpg,output_balcony\images\104.283.27.jpg,https://www.ikea.com/kr/ko/p/hyllis-shelving-unit-in-outdoor-10428327/,검토,
