external_source,external_id,category_code,product_name,brand,description,price,currency,stock_status,image_preview,thumbnail_url,local_image_path,source_url,use_product,mood_code
IKEA,904.597.15,LIGHTING,ISJAKT 이샥트 LED상향식플로어스탠드/독서등 - 밝기조절/니켈 도금 180 cm,IKEA,"ISJAKT 이샥트 LED상향식플로어스탠드/독서등 - 밝기조절/니켈 도금 180 cm. 전체등과 독서등으로 사용할 수 있는 스탠드로 따로 켜고 끌 수 있습니다. 상향식플로어스탠드는 방 전체를 밝히는 기분 좋은 빛을 퍼트립니다. 독서등의 암과 헤드를 조절하여 원하는 곳에 빛을 비출 수 있습니다. LED 전구가 내장되어 있어서 전구를 교체할 필요가 없습니다. 조명을 줄이면 방 안의 분위기가 달라져요. 내장 LED 조명. 전구의 수명은 약 25,000시간입니다. 스탠드를 매일 3시간씩 켜는 경우 약 20년에 해당됩니다.",149000,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/isjakt-led-floor-uplighter-reading-lamp-dimmable-nickel-plated__1006753_pe825819_s5.jpg,output_lighting\images\904.597.15.jpg,https://www.ikea.com/kr/ko/p/isjakt-led-floor-uplighter-reading-lamp-dimmable-nickel-plated-90459715/,검토,
IKEA,302.838.99,LIGHTING,FADO 파도 탁상스탠드 - 화이트 25 cm,IKEA,"FADO 파도 탁상스탠드 - 화이트 25 cm. 부드럽고 아늑한 느낌의 불빛입니다. 조명은 별도구매입니다. LED전구 E26 구형 오팔 화이트 사용을 권장합니다. 일반 조명/전등갓을 사용할 경우, 그리고 고르게 발산되는 확산된 빛을 원할 경우 불투명 전구를 사용하세요.",0,KRW,,,https://www.ikea.com/kr/ko/images/products/fado-table-lamp-white__0606976_pe682645_s5.jpg,output_lighting\images\302.838.99.jpg,https://www.ikea.com/kr/ko/p/fado-table-lamp-white-30283899/,검토,
IKEA,306.176.09,LIGHTING,VARMBLIXT 바름블릭스트 LED 탁상스탠드/벽등 - 오렌지 유리/원형 30 cm,IKEA,VARMBLIXT 바름블릭스트 LED 탁상스탠드/벽등 - 오렌지 유리/원형 30 cm. 집에 부드럽고 아늑한 무드 조명을 선사합니다. 탁상스탠드나 벽부착등으로 사용할 수 있습니다. 이 장식적인 유리 탁상스탠드/벽등은 숙련된 전문가가 입으로 불어서 만든 제품으로 조명마다 다른 개성을 느낄 수 있어요. LED 전구가 내장되어 있어서 전구를 교체할 필요가 없습니다. LED조명은 백열전구보다 수명이 20배나 길고 에너지 소비량은 85%가 적습니다. 내장 LED 조명. 벽 설치에 필요한 나사는 별도 판매입니다.,79900,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/varmblixt-led-table-wall-lamp-orange-glass-round__1116616_pe872535_s5.jpg,output_lighting\images\306.176.09.jpg,https://www.ikea.com/kr/ko/p/varmblixt-led-table-wall-lamp-orange-glass-round-30617609/,검토,
IKEA,804.640.53,LIGHTING,TÅGARP 토가르프 상향식플로어스탠드 - 블랙/화이트,IKEA,TÅGARP 토가르프 상향식플로어스탠드 - 블랙/화이트. 풍부한 불빛이 넓게 퍼지며 방 전체를 밝혀줍니다. 조명은 별도구매입니다. LED전구 E26 구형 오팔 화이트 사용을 권장합니다.,19900,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/tagarp-floor-uplighter-black-white__0810840_pe771436_s5.jpg,output_lighting\images\804.640.53.jpg,https://www.ikea.com/kr/ko/p/tagarp-floor-uplighter-black-white-80464053/,검토,
IKEA,903.501.26,LIGHTING,MÖRKRÄDD 뫼르크레드 LED야간센서등 - 화이트,IKEA,"MÖRKRÄDD 뫼르크레드 LED야간센서등 - 화이트. 어두워지면 자동으로 켜지고 밝아지면 꺼지기 때문에 매일 플러그를 빼고 꽂을 필요가 없습니다. 조명색:따뜻한 백색(2700K) 실내 사용 전용. 내장 LED 조명. 전구의 수명은 약 25,000시간입니다. 스탠드를 매일 3시간씩 켜는 경우 약 20년에 해당됩니다. 특별한 쓰레기 처리가 필요할 수 있습니다. 자세한 내용은 지역 당국에 문의하세요.",7900,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/moerkraedd-led-nightlight-with-sensor-white__0551948_pe658827_s5.jpg,output_lighting\images\903.501.26.jpg,https://www.ikea.com/kr/ko/p/moerkraedd-led-nightlight-with-sensor-white-90350126/,검토,
IKEA,606.085.28,LIGHTING,IKEA PS 2026 이케아 피에스 2026 상향식플로어스탠드 - 블루 182 cm,IKEA,IKEA PS 2026 이케아 피에스 2026 상향식플로어스탠드 - 블루 182 cm. 조절식 연결부 덕분에 조명을 원하는 각도로 구부려 빛을 정확히 필요한 곳에 비출 수 있습니다. 금속 갓이 빛을 집중시켜 직사광을 만들어 냅니다. 전구는 별도 판매입니다. LED전구 GU10 사용을 권장합니다.,149000,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/ikea-ps-2026-floor-uplighter-blue__1418670_pe976685_s5.jpg,output_lighting\images\606.085.28.jpg,https://www.ikea.com/kr/ko/p/ikea-ps-2026-floor-uplighter-blue-60608528/,검토,
IKEA,106.085.16,LIGHTING,IKEA PS 2026 이케아 피에스 2026 상향식플로어스탠드 - 다크레드 182 cm,IKEA,IKEA PS 2026 이케아 피에스 2026 상향식플로어스탠드 - 다크레드 182 cm. 조절식 연결부 덕분에 조명을 원하는 각도로 구부려 빛을 정확히 필요한 곳에 비출 수 있습니다. 금속 갓이 빛을 집중시켜 직사광을 만들어 냅니다. 전구는 별도 판매입니다. LED전구 GU10 사용을 권장합니다.,149000,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/ikea-ps-2026-floor-uplighter-dark-red__1418671_pe976686_s5.jpg,output_lighting\images\106.085.16.jpg,https://www.ikea.com/kr/ko/p/ikea-ps-2026-floor-uplighter-dark-red-10608516/,검토,
IKEA,106.085.40,LIGHTING,IKEA PS 2026 이케아 피에스 2026 상향식플로어스탠드 - 옐로 182 cm,IKEA,IKEA PS 2026 이케아 피에스 2026 상향식플로어스탠드 - 옐로 182 cm. 조절식 연결부 덕분에 조명을 원하는 각도로 구부려 빛을 정확히 필요한 곳에 비출 수 있습니다. 금속 갓이 빛을 집중시켜 직사광을 만들어 냅니다. 전구는 별도 판매입니다. LED전구 GU10 사용을 권장합니다.,149000,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/ikea-ps-2026-floor-uplighter-yellow__1418680_pe976687_s5.jpg,output_lighting\images\106.085.40.jpg,https://www.ikea.com/kr/ko/p/ikea-ps-2026-floor-uplighter-yellow-10608540/,검토,
IKEA,204.049.91,LIGHTING,DEJSA 데이사 탁상스탠드 - 베이지/오팔 화이트 유리 28 cm,IKEA,"DEJSA 데이사 탁상스탠드 - 베이지/오팔 화이트 유리 28 cm. 숙련된 전문가가 직접 입으로 불어서 만든 제품입니다. 조명은 별도구매입니다. LED전구 E26 구형 오팔 화이트 사용을 권장합니다. 일반 조명/전등갓을 사용할 경우, 그리고 고르게 발산되는 확산된 빛을 원할 경우 불투명 전구를 사용하세요. 조명에 스마트 전구를 사용하면 활동에 맞게 밝기를 조절할 수 있습니다.",0,KRW,,,https://www.ikea.com/kr/ko/images/products/dejsa-table-lamp-beige-opal-white-glass__0967540_pe810183_s5.jpg,output_lighting\images\204.049.91.jpg,https://www.ikea.com/kr/ko/p/dejsa-table-lamp-beige-opal-white-glass-20404991/,검토,
IKEA,104.377.51,LIGHTING,TÄLLBYN 텔뷘 플로어스탠드 - 니켈 도금/오팔 화이트 유리 135 cm,IKEA,"TÄLLBYN 텔뷘 플로어스탠드 - 니켈 도금/오팔 화이트 유리 135 cm. 부드러운 느낌의 불빛이 따뜻하고 포근한 분위기를 연출합니다. 이 유리 전등갓은 숙련된 전문가가 입으로 불어서 만든 제품으로 독특한 개성을 느낄 수 있어요. 조명은 별도구매입니다. LED전구 E26 구형 오팔 화이트 사용을 권장합니다. 일반 조명/전등갓을 사용할 경우, 그리고 고르게 발산되는 확산된 빛을 원할 경우 불투명 전구를 사용하세요. 풀 스위치 포함. 조명에 스마트 전구를 사용하면 활동에 맞게 밝기를 조절할 수 있습니다.",149000,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/taellbyn-floor-lamp-nickel-plated-opal-white-glass__0779117_pe759263_s5.jpg,output_lighting\images\104.377.51.jpg,https://www.ikea.com/kr/ko/p/taellbyn-floor-lamp-nickel-plated-opal-white-glass-10437751/,검토,
