scene_code,product_code,product_type,x,y,confidence,status
SPLV01,MC-SF-091,armchair,68.0,45.5,1.00,manual
SPLV01,MC-LT-066,coffee table,21.9,65.0,1.00,manual
SPLV01,MC-LT-017,lamp,41.2,18.0,1.00,manual
SPLV01,MC-DF-006,scented candle,19.7,54.6,0.24,review
SPLV02,MC-SF-005,sofa,51.1,62.7,1.00,manual
SPLV02,MC-LT-013,side table,16.3,80.5,1.00,manual
SPLV02,MC-LT-007,floor lamp,95.2,17.0,1.00,manual
SPLV02,MC-DF-002,,17.2,56.3,1.00,manual
SPLV03,MC-SF-003,sofa,54.8,54.8,1.00,manual
SPLV03,MC-LT-038,coffee table,31.3,77.9,0.92,auto
SPLV03,MC-LT-026,lamp,89.6,43.6,0.79,auto
SPLV03,MC-DF-009,scented candle,30.5,64.6,0.27,review
SPLV04,MC-SF-054,sofa,50.1,55.0,0.89,auto
SPLV04,MC-LT-061,coffee table,74.7,79.8,0.95,auto
SPLV04,MC-LT-021,table lamp,81.4,60.9,0.67,auto
SPLV04,MC-DF-004,home fragrance,71.7,68.3,1.00,manual
SULV01,MC-SF-024,sofa,60.7,54.6,1.00,manual
SULV01,MC-LT-009,side table,88.1,74.4,1.00,manual
SULV01,MC-LT-024,lamp,88.7,52.4,0.85,auto
SULV01,MC-DF-012,scented candle,84.9,59.2,0.15,review
SULV02,MC-SF-059,sofa,51.4,54.2,1.00,manual
SULV02,MC-LT-008,side table,21.5,61.4,0.84,auto
SULV02,MC-LT-006,lamp,61.7,19.1,0.22,review
SULV02,MC-DF-023,scented candle,18.0,47.2,1.00,manual
SULV03,MC-SF-030,sofa,64.3,52.6,1.00,manual
SULV03,MC-LT-005,side table,92.0,75.2,1.00,manual
SULV03,MC-LT-014,lamp,93.4,38.4,1.00,manual
SULV03,MC-DF-001,lavender sachet,81.8,50.7,0.15,review
SULV04,MC-SF-086,chair,31.2,60.2,0.91,auto
SULV04,MC-LT-015,side table,14.3,77.5,0.92,auto
SULV04,MC-LT-041,lamp,9.6,34.7,1.00,manual
SULV04,MC-DF-017,,15.1,60.0,1.00,manual
FALV01,MC-SF-053,sofa,52.4,57.1,1.00,manual
FALV01,MC-LT-002,side table,79.2,66.2,1.00,manual
FALV01,MC-LT-009,lamp,85.4,37.9,1.00,manual
FALV01,MC-DF-011,candle jar,83.2,51.7,1.00,manual
FALV02,MC-SF-079,sofa,53.8,60.0,1.00,manual
FALV02,MC-LT-019,side table,74.6,65.0,1.00,manual
FALV02,MC-LT-017,lamp,19.7,17.4,1.00,manual
FALV02,MC-DF-015,,70.6,49.9,1.00,manual
FALV03,MC-SF-068,sofa,58.5,49.9,1.00,manual
FALV03,MC-LT-035,side table,90.8,60.4,1.00,manual
FALV03,MC-LT-012,lamp,92.0,29.0,1.00,manual
FALV03,MC-DF-020,candle jar,87.7,49.7,1.00,manual
FALV04,MC-SF-051,sofa,48.3,47.0,1.00,manual
FALV04,MC-LT-037,coffee table,19.7,72.4,1.00,manual
FALV04,MC-LT-003,table lamp,13.9,59.4,1.00,manual
FALV04,MC-DF-011,scented candle,25.3,65.6,0.15,review
WILV01,MC-SF-018,sofa,55.3,54.8,1.00,manual
WILV01,MC-LT-011,side table,82.1,73.3,1.00,manual
